soil_type,region,water_source,irrigation_source,season,sown,sowing_window,soil_ph,temp,waterrequired,relative_humidity,n,p,k,cropduration,seed_variety
loamy,Canal Area,irrigated,tube well,rabi,Oct,early,6.3,21.6,533.3,52.5,84.5,40.6,50.9,89.4,Dilkash-20
clay loam,Potohar,rainfed,canal,rabi,Nov,optimal,6.7,22.4,528.7,56.3,96.8,47.2,43.0,88.0,Subhani-21
sandy loam,Central Punjab,irrigated,canal,rabi,Dec,late,6.6,21.5,596.0,53.0,84.9,58.8,50.5,88.2,Sawera-24
sandy loam,South Punjab,rainfed,canal,rabi,Oct,early,6.6,21.5,535.1,55.4,91.8,45.8,58.3,84.4,Arooj-22
silt loam,Punjab North,irrigated,mixed,rabi,Nov,optimal,6.1,24.0,581.3,52.1,107.7,40.5,58.2,83.0,Falak-24
clay loam,Punjab North,rainfed,mixed,rabi,Dec,late,6.6,22.5,568.3,51.6,91.6,49.5,57.7,88.3,Subhani-21
clay loam,South Punjab,rainfed,mixed,rabi,Nov,optimal,6.4,21.1,610.7,59.3,118.7,50.2,40.4,80.3,Sawera-24
sandy loam,Canal Area,irrigated,canal,rabi,Dec,late,6.4,23.7,483.0,52.8,116.9,40.7,54.5,83.7,Sawera-24
loamy,South Punjab,rainfed,canal,rabi,Oct,early,6.1,23.4,640.2,53.0,84.8,40.1,49.5,85.8,Sawera-24
sandy loam,Potohar,irrigated,mixed,rabi,Nov,optimal,6.1,22.3,648.8,59.7,115.4,44.1,47.6,82.0,Arooj-22
loamy,Potohar,rainfed,tube well,rabi,Dec,late,6.1,22.4,632.3,59.4,115.8,59.7,56.7,82.3,Sawera-24
sandy loam,South Punjab,irrigated,mixed,rabi,Oct,early,6.4,23.5,644.4,56.0,104.5,45.7,44.7,88.7,Sawera-24
silt loam,Potohar,rainfed,mixed,rabi,Nov,optimal,6.5,21.1,516.4,50.8,90.4,49.1,55.5,84.2,Arooj-22
loamy,South Punjab,irrigated,canal,rabi,Dec,late,7.0,23.4,566.8,59.4,98.1,46.6,43.1,85.7,Sawera-24
sandy loam,Central Punjab,rainfed,rainfed,rabi,Oct,early,6.1,23.5,585.9,52.4,95.9,49.5,40.0,81.8,Arooj-22
silt loam,South Punjab,irrigated,canal,rabi,Nov,optimal,6.2,23.4,507.5,50.1,83.9,41.5,52.4,83.8,Dilkash-20
loamy,South Punjab,rainfed,rainfed,rabi,Dec,late,6.3,23.5,603.3,59.3,87.8,56.4,48.3,84.4,Sawera-24
silt loam,Potohar,irrigated,canal,rabi,Oct,early,6.5,21.2,451.7,54.0,111.3,51.7,59.0,86.8,Falak-24
clay loam,Potohar,rainfed,mixed,rabi,Nov,optimal,6.9,23.0,527.9,55.5,89.0,43.8,41.5,88.0,Subhani-21
clay loam,Punjab North,irrigated,canal,rabi,Dec,late,6.5,23.0,506.8,50.4,112.9,49.3,43.9,82.6,Subhani-21
loamy,Punjab North,rainfed,canal,rabi,Oct,early,6.4,23.6,482.5,58.5,84.1,53.0,50.7,80.0,Falak-24
sandy loam,Central Punjab,irrigated,canal,rabi,Nov,optimal,7.0,21.9,514.7,54.3,83.0,41.4,54.3,85.7,Subhani-21
loamy,Punjab North,rainfed,mixed,rabi,Dec,late,6.4,22.1,476.7,52.7,105.6,45.9,55.8,84.0,Sawera-24
silt loam,South Punjab,irrigated,mixed,rabi,Oct,early,6.4,21.2,454.3,55.1,115.4,46.2,41.8,86.6,Falak-24
sandy loam,Potohar,rainfed,mixed,rabi,Nov,optimal,6.9,22.4,510.5,53.2,82.5,55.2,42.3,81.6,Arooj-22
clay loam,Punjab North,irrigated,mixed,rabi,Dec,late,7.0,21.5,503.8,52.6,111.7,47.6,54.4,82.9,Subhani-21
sandy loam,Punjab North,rainfed,rainfed,rabi,Oct,early,6.7,21.2,548.2,53.4,84.6,46.6,52.3,86.6,Arooj-22
clay loam,Central Punjab,irrigated,rainfed,rabi,Nov,optimal,6.4,22.5,585.8,50.2,104.5,54.2,40.5,83.5,Subhani-21
sandy loam,Central Punjab,rainfed,tube well,rabi,Dec,late,6.4,23.5,501.3,50.0,99.3,46.6,42.2,80.8,Subhani-21
sandy loam,South Punjab,irrigated,mixed,rabi,Oct,early,6.2,24.0,646.7,58.4,115.1,47.6,58.1,81.4,Arooj-22
sandy loam,Potohar,rainfed,rainfed,rabi,Nov,optimal,6.4,23.7,461.5,53.2,103.6,49.1,58.1,86.8,Arooj-22
silt loam,Central Punjab,irrigated,canal,rabi,Dec,late,6.1,22.9,592.6,52.8,80.3,45.2,53.0,86.9,Sawera-24
silt loam,Punjab North,rainfed,mixed,rabi,Oct,early,7.0,22.3,556.8,58.8,82.6,43.2,54.4,86.2,Falak-24
loamy,Potohar,irrigated,tube well,rabi,Nov,optimal,6.2,21.4,649.0,52.0,80.2,56.4,55.9,87.0,Dilkash-20
loamy,Potohar,rainfed,tube well,rabi,Dec,late,6.1,22.2,452.6,59.1,108.1,50.6,41.7,84.9,Sawera-24
clay loam,Punjab North,irrigated,tube well,rabi,Oct,early,6.9,23.6,609.1,51.5,95.2,47.0,43.0,86.7,Subhani-21
silt loam,Central Punjab,rainfed,canal,rabi,Nov,optimal,7.0,23.8,548.9,51.6,101.7,41.6,49.5,88.4,Subhani-21
clay loam,Punjab North,irrigated,rainfed,rabi,Dec,late,6.6,22.5,499.5,53.5,118.0,43.6,46.1,80.4,Subhani-21
loamy,Potohar,rainfed,canal,rabi,Oct,early,6.8,22.2,573.9,57.4,112.2,57.8,44.1,86.1,Arooj-22
clay loam,Canal Area,irrigated,mixed,rabi,Nov,optimal,6.5,21.6,516.8,57.3,92.9,50.8,55.2,80.2,Dilkash-20
loamy,Canal Area,rainfed,tube well,rabi,Dec,late,6.8,23.8,620.0,54.3,111.6,57.4,45.2,82.8,Sawera-24
silt loam,South Punjab,irrigated,canal,rabi,Oct,early,6.1,22.7,641.5,58.2,81.3,51.1,53.2,87.8,Falak-24
sandy loam,Punjab North,rainfed,canal,rabi,Nov,optimal,6.2,22.5,493.9,56.6,82.9,45.2,55.7,82.0,Falak-24
silt loam,Punjab North,irrigated,rainfed,rabi,Dec,late,6.8,23.2,609.2,59.8,99.9,41.5,48.3,80.6,Falak-24
clay loam,South Punjab,rainfed,rainfed,rabi,Oct,early,6.8,23.8,612.6,59.6,98.1,40.6,52.6,86.1,Sawera-24
clay loam,South Punjab,irrigated,tube well,rabi,Nov,optimal,6.3,23.8,589.7,51.1,101.2,58.5,59.1,85.5,Subhani-21
silt loam,South Punjab,rainfed,canal,rabi,Dec,late,6.1,22.7,562.9,56.8,88.5,40.9,41.0,86.3,Sawera-24
silt loam,Potohar,irrigated,canal,rabi,Oct,early,6.4,22.3,641.4,56.6,119.5,53.9,56.1,82.4,Falak-24
loamy,Punjab North,rainfed,rainfed,rabi,Nov,optimal,6.0,23.5,460.0,52.9,99.1,59.5,55.8,87.0,Subhani-21
clay loam,Potohar,irrigated,canal,rabi,Dec,late,6.4,21.7,478.6,59.9,98.5,41.1,58.0,85.1,Sawera-24
clay loam,South Punjab,rainfed,canal,rabi,Oct,early,7.0,22.5,523.8,57.2,111.3,56.7,59.9,82.6,Sawera-24
silt loam,Punjab North,irrigated,canal,rabi,Nov,optimal,6.2,23.8,531.6,58.7,112.6,59.8,48.4,87.1,Falak-24
sandy loam,Potohar,rainfed,rainfed,rabi,Dec,late,6.4,22.2,478.4,52.9,83.9,55.9,55.6,89.7,Arooj-22
clay loam,Potohar,irrigated,tube well,rabi,Oct,early,6.3,22.1,599.7,59.3,116.0,40.4,49.3,81.8,Arooj-22
sandy loam,South Punjab,rainfed,mixed,rabi,Nov,optimal,6.5,21.5,539.0,58.6,96.1,49.2,45.7,82.2,Sawera-24
silt loam,Punjab North,irrigated,tube well,rabi,Dec,late,6.3,22.8,543.4,51.3,109.7,49.5,40.5,86.0,Falak-24
silt loam,South Punjab,rainfed,mixed,rabi,Oct,early,6.4,21.3,603.0,54.8,96.6,45.5,44.2,87.4,Falak-24
loamy,Punjab North,irrigated,canal,rabi,Nov,optimal,6.8,22.7,454.2,57.4,118.2,40.4,40.2,85.8,Subhani-21
clay loam,Canal Area,rainfed,tube well,rabi,Dec,late,6.0,22.7,491.5,52.8,98.4,43.1,52.4,86.3,Sawera-24
sandy loam,Central Punjab,irrigated,mixed,rabi,Oct,early,6.7,22.5,459.8,53.3,113.3,54.6,58.0,88.7,Arooj-22
loamy,Central Punjab,rainfed,rainfed,rabi,Nov,optimal,6.9,21.1,611.5,50.9,108.1,54.9,59.3,86.5,Subhani-21
clay loam,Central Punjab,irrigated,rainfed,rabi,Dec,late,6.9,21.9,594.2,51.9,89.9,59.9,43.9,84.1,Subhani-21
loamy,South Punjab,rainfed,tube well,rabi,Oct,early,6.5,23.0,639.2,55.5,98.2,52.3,46.1,88.8,Sawera-24
silt loam,Canal Area,irrigated,tube well,rabi,Nov,optimal,6.5,22.2,578.1,51.3,108.1,59.2,43.3,87.4,Dilkash-20
clay loam,Punjab North,rainfed,canal,rabi,Dec,late,6.8,22.1,584.3,50.5,115.4,52.5,45.7,82.8,Subhani-21
loamy,Potohar,irrigated,tube well,rabi,Oct,early,6.4,22.9,576.6,53.8,104.8,46.0,59.5,84.4,Falak-24
loamy,Punjab North,rainfed,canal,rabi,Nov,optimal,6.7,23.7,601.4,58.2,101.6,43.1,54.4,88.6,Subhani-21
sandy loam,Potohar,irrigated,canal,rabi,Dec,late,6.5,22.4,488.0,51.0,84.0,58.8,59.7,82.4,Arooj-22
loamy,Punjab North,rainfed,rainfed,rabi,Oct,early,6.8,22.4,529.3,54.0,110.8,58.9,52.2,83.9,Falak-24
clay loam,Canal Area,irrigated,rainfed,rabi,Nov,optimal,6.6,22.9,615.6,50.3,101.5,58.4,59.4,81.2,Dilkash-20
clay loam,Potohar,rainfed,mixed,rabi,Dec,late,6.2,21.5,538.2,56.3,97.0,43.3,47.6,82.9,Arooj-22
sandy loam,South Punjab,irrigated,rainfed,rabi,Oct,early,6.5,23.6,528.3,59.0,103.6,47.7,49.3,85.5,Arooj-22
clay loam,Punjab North,rainfed,rainfed,rabi,Nov,optimal,6.3,21.8,619.2,55.5,102.5,44.3,59.1,85.5,Subhani-21
silt loam,Punjab North,irrigated,tube well,rabi,Dec,late,7.0,21.1,636.3,59.6,100.1,42.2,49.0,82.4,Falak-24
clay loam,Potohar,rainfed,rainfed,rabi,Oct,early,6.8,23.4,546.6,57.4,95.7,58.8,57.8,88.4,Arooj-22
clay loam,South Punjab,irrigated,mixed,rabi,Nov,optimal,6.3,23.0,635.2,54.2,84.2,46.2,50.1,89.3,Subhani-21
loamy,South Punjab,rainfed,tube well,rabi,Dec,late,6.0,21.5,552.9,53.2,88.0,47.8,57.5,87.1,Sawera-24
loamy,Canal Area,irrigated,mixed,rabi,Oct,early,6.4,21.7,640.3,54.6,83.4,57.6,43.7,84.9,Dilkash-20
clay loam,South Punjab,rainfed,rainfed,rabi,Nov,optimal,6.3,22.8,461.5,52.4,96.3,42.3,58.8,81.3,Subhani-21
sandy loam,South Punjab,irrigated,mixed,rabi,Dec,late,6.6,23.3,646.1,52.3,84.0,55.3,55.1,81.4,Sawera-24
loamy,South Punjab,rainfed,tube well,rabi,Oct,early,6.2,23.8,607.1,59.6,95.4,45.0,43.6,85.1,Sawera-24
sandy loam,Central Punjab,irrigated,canal,rabi,Nov,optimal,6.9,21.2,603.1,54.5,94.0,50.8,50.5,85.4,Subhani-21
clay loam,Canal Area,rainfed,mixed,rabi,Dec,late,6.3,21.5,579.3,54.1,119.1,40.8,40.5,82.3,Sawera-24
clay loam,Punjab North,irrigated,mixed,rabi,Oct,early,6.7,21.2,548.7,51.8,99.4,57.3,50.3,83.3,Falak-24
silt loam,Potohar,rainfed,tube well,rabi,Nov,optimal,6.9,23.0,594.1,55.0,106.6,59.6,54.8,85.9,Subhani-21
loamy,Punjab North,irrigated,tube well,rabi,Dec,late,6.4,21.1,561.3,55.0,117.7,58.0,48.9,87.8,Sawera-24
clay loam,Canal Area,rainfed,mixed,rabi,Oct,early,6.8,21.7,466.6,57.9,105.0,58.4,42.2,87.9,Dilkash-20
silt loam,Potohar,irrigated,rainfed,rabi,Nov,optimal,6.3,22.7,599.6,54.9,105.5,46.4,55.8,87.4,Arooj-22
loamy,Canal Area,rainfed,mixed,rabi,Dec,late,6.5,22.2,463.0,51.6,80.6,56.5,45.6,89.4,Sawera-24
clay loam,South Punjab,irrigated,tube well,rabi,Oct,early,6.7,22.1,644.7,55.7,86.9,41.9,43.6,83.6,Subhani-21
clay loam,Potohar,rainfed,canal,rabi,Nov,optimal,6.5,23.4,637.3,50.2,94.5,56.8,53.2,86.6,Subhani-21
loamy,South Punjab,irrigated,canal,rabi,Dec,late,6.6,23.6,587.8,56.1,116.3,51.7,41.2,85.5,Sawera-24
loamy,Punjab North,rainfed,rainfed,rabi,Oct,early,7.0,23.4,461.3,58.0,119.0,52.9,55.7,80.5,Falak-24
loamy,Punjab North,irrigated,mixed,rabi,Nov,optimal,6.1,23.5,529.0,52.5,90.2,53.3,48.7,85.7,Subhani-21
clay loam,Potohar,rainfed,canal,rabi,Dec,late,6.4,22.7,599.8,59.3,110.8,44.7,51.1,80.0,Sawera-24
clay loam,Potohar,irrigated,mixed,rabi,Oct,early,7.0,22.2,542.2,56.9,110.4,43.0,44.5,89.7,Arooj-22
silt loam,Canal Area,rainfed,tube well,rabi,Nov,optimal,6.3,21.0,472.9,55.2,112.7,47.1,59.4,81.1,Dilkash-20
sandy loam,Canal Area,irrigated,canal,rabi,Dec,late,6.8,23.0,484.1,52.5,119.0,57.6,54.4,80.4,Sawera-24
loamy,South Punjab,rainfed,rainfed,rabi,Oct,early,7.0,23.1,533.0,59.1,119.7,40.0,59.1,81.6,Sawera-24
clay loam,Potohar,irrigated,tube well,rabi,Nov,optimal,6.2,21.1,469.4,56.9,83.4,48.8,43.3,86.6,Subhani-21
clay loam,Punjab North,rainfed,rainfed,rabi,Dec,late,6.9,23.3,471.9,57.6,96.8,56.2,55.7,84.1,Subhani-21
loamy,Canal Area,irrigated,tube well,rabi,Oct,early,6.2,21.6,629.5,57.2,109.1,57.8,42.3,81.3,Dilkash-20
sandy loam,Canal Area,rainfed,canal,rabi,Nov,optimal,6.2,23.6,450.9,57.5,84.5,50.1,45.5,80.5,Dilkash-20
loamy,Punjab North,irrigated,rainfed,rabi,Dec,late,6.0,22.4,571.2,51.4,106.3,47.0,41.7,80.2,Falak-24
sandy loam,Canal Area,rainfed,rainfed,rabi,Oct,early,6.1,21.8,468.9,56.5,109.8,40.7,43.7,85.7,Arooj-22
clay loam,South Punjab,irrigated,tube well,rabi,Nov,optimal,6.6,23.8,465.8,51.3,118.6,41.5,50.5,83.6,Subhani-21
sandy loam,Potohar,rainfed,rainfed,rabi,Dec,late,6.0,21.2,455.8,55.7,102.6,51.0,51.3,82.0,Arooj-22
silt loam,Punjab North,irrigated,tube well,rabi,Oct,early,6.6,21.3,455.7,56.3,104.9,50.8,57.6,80.4,Falak-24
clay loam,Potohar,rainfed,tube well,rabi,Nov,optimal,6.5,22.7,479.0,51.0,115.0,44.1,42.4,80.2,Subhani-21
silt loam,Canal Area,irrigated,tube well,rabi,Dec,late,6.9,22.3,587.7,55.5,108.3,51.0,42.9,80.2,Dilkash-20
loamy,Canal Area,rainfed,tube well,rabi,Oct,early,6.0,21.8,529.9,54.3,89.9,53.8,52.1,86.4,Dilkash-20
loamy,Punjab North,irrigated,canal,rabi,Nov,optimal,6.9,21.1,553.0,60.0,103.7,46.8,55.5,86.9,Subhani-21
loamy,South Punjab,rainfed,tube well,rabi,Dec,late,6.2,21.8,532.9,51.4,111.1,52.0,46.3,88.3,Sawera-24
sandy loam,Central Punjab,irrigated,mixed,rabi,Oct,early,6.9,21.3,609.9,58.4,83.6,42.6,44.0,88.1,Arooj-22
clay loam,Punjab North,rainfed,rainfed,rabi,Nov,optimal,6.9,21.4,485.0,53.7,97.2,51.8,52.3,85.3,Subhani-21
loamy,Central Punjab,irrigated,mixed,rabi,Dec,late,6.4,22.0,468.8,57.8,90.9,57.3,45.3,81.5,Sawera-24
loamy,Central Punjab,rainfed,canal,rabi,Oct,early,6.1,22.1,493.2,58.3,90.1,51.5,46.9,83.9,Dilkash-20
clay loam,South Punjab,irrigated,mixed,rabi,Nov,optimal,7.0,22.3,599.9,54.0,114.3,59.4,57.7,84.5,Subhani-21
loamy,Central Punjab,rainfed,rainfed,rabi,Dec,late,6.8,21.1,562.5,53.3,91.0,59.0,46.0,82.7,Sawera-24
silt loam,Central Punjab,irrigated,mixed,rabi,Oct,early,6.9,21.7,485.4,51.1,99.9,54.0,53.6,82.2,Falak-24
clay loam,South Punjab,rainfed,canal,rabi,Nov,optimal,6.4,23.2,515.7,58.0,104.6,58.9,50.5,87.7,Sawera-24
clay loam,Central Punjab,irrigated,tube well,rabi,Dec,late,6.1,23.5,635.5,58.9,109.6,48.8,44.3,85.5,Subhani-21
clay loam,Central Punjab,rainfed,mixed,rabi,Oct,early,6.3,22.7,560.7,53.1,99.6,47.5,55.1,81.5,Subhani-21
silt loam,Central Punjab,irrigated,canal,rabi,Nov,optimal,6.2,21.1,589.8,56.3,104.7,53.9,50.4,84.3,Dilkash-20
clay loam,Punjab North,rainfed,canal,rabi,Dec,late,6.4,22.3,451.6,55.0,85.9,49.0,53.6,80.9,Subhani-21
silt loam,Punjab North,irrigated,rainfed,rabi,Oct,early,6.7,22.0,541.0,56.3,114.1,41.6,57.8,89.5,Falak-24
clay loam,Punjab North,rainfed,rainfed,rabi,Nov,optimal,6.8,21.3,514.5,59.5,110.1,51.3,40.3,81.5,Subhani-21
sandy loam,South Punjab,irrigated,mixed,rabi,Dec,late,7.0,23.3,542.6,56.9,82.0,48.9,43.5,82.5,Sawera-24
loamy,Canal Area,rainfed,tube well,rabi,Oct,early,7.0,21.8,555.1,55.7,80.8,43.6,55.6,83.5,Dilkash-20
sandy loam,Central Punjab,irrigated,canal,rabi,Nov,optimal,6.9,23.7,551.3,52.1,114.7,41.8,54.8,87.8,Subhani-21
loamy,Central Punjab,rainfed,mixed,rabi,Dec,late,6.3,23.8,456.2,53.4,85.0,55.6,52.0,80.5,Sawera-24
silt loam,South Punjab,irrigated,canal,rabi,Oct,early,6.2,21.2,569.6,59.3,108.8,49.6,56.2,87.2,Falak-24
sandy loam,Central Punjab,rainfed,canal,rabi,Nov,optimal,6.1,23.4,649.2,53.2,99.3,49.5,50.8,88.9,Subhani-21
clay loam,Punjab North,irrigated,tube well,rabi,Dec,late,6.3,23.0,492.4,57.0,105.5,43.2,59.6,80.6,Subhani-21
loamy,Canal Area,rainfed,tube well,rabi,Oct,early,6.0,21.7,634.1,53.5,81.5,48.3,47.6,88.5,Dilkash-20
loamy,Potohar,irrigated,mixed,rabi,Nov,optimal,6.3,22.5,594.2,54.1,109.3,53.6,56.0,88.2,Dilkash-20
sandy loam,Central Punjab,rainfed,tube well,rabi,Dec,late,7.0,21.1,595.7,51.1,114.4,55.6,40.0,82.7,Subhani-21
silt loam,Punjab North,irrigated,tube well,rabi,Oct,early,6.7,23.3,627.5,52.8,108.4,53.3,53.2,81.9,Falak-24
sandy loam,Potohar,rainfed,mixed,rabi,Nov,optimal,6.0,22.3,641.2,57.6,102.4,52.0,48.7,89.8,Arooj-22
silt loam,Canal Area,irrigated,tube well,rabi,Dec,late,6.5,22.5,599.8,55.8,102.0,40.8,56.1,88.5,Dilkash-20
silt loam,Potohar,rainfed,rainfed,rabi,Oct,early,6.3,22.2,630.5,51.2,91.0,58.5,51.6,88.0,Arooj-22
loamy,Punjab North,irrigated,canal,rabi,Nov,optimal,6.7,23.4,583.8,55.4,95.5,49.2,57.7,85.8,Subhani-21
sandy loam,Potohar,rainfed,canal,rabi,Dec,late,6.2,23.3,508.6,56.1,103.9,45.6,60.0,84.3,Sawera-24
sandy loam,South Punjab,irrigated,canal,rabi,Oct,early,6.6,22.9,549.9,55.4,83.5,55.7,46.6,86.4,Sawera-24
silt loam,Potohar,rainfed,canal,rabi,Nov,optimal,6.9,23.4,483.9,58.7,86.7,50.4,41.3,80.2,Dilkash-20
sandy loam,Central Punjab,irrigated,mixed,rabi,Dec,late,6.1,21.3,488.3,54.7,96.4,40.3,40.1,87.0,Sawera-24
clay loam,Central Punjab,rainfed,canal,rabi,Oct,early,6.7,21.8,457.3,57.0,99.6,59.3,59.1,82.1,Subhani-21
clay loam,South Punjab,irrigated,canal,rabi,Nov,optimal,6.5,24.0,479.0,53.1,118.5,51.5,54.6,86.1,Sawera-24
sandy loam,Punjab North,rainfed,canal,rabi,Dec,late,6.2,23.0,530.2,59.5,81.1,51.5,57.6,80.5,Falak-24
sandy loam,Central Punjab,irrigated,canal,rabi,Oct,early,6.4,21.1,611.8,54.3,94.9,54.1,59.5,83.1,Falak-24
silt loam,Canal Area,rainfed,rainfed,rabi,Nov,optimal,6.4,22.4,634.7,55.1,116.3,56.8,41.6,86.4,Dilkash-20
clay loam,Central Punjab,irrigated,canal,rabi,Dec,late,6.2,22.3,647.5,57.9,80.5,42.6,43.9,87.1,Subhani-21
clay loam,Central Punjab,rainfed,rainfed,rabi,Oct,early,6.6,22.9,616.4,50.8,109.8,49.9,56.3,85.8,Subhani-21
loamy,Punjab North,irrigated,mixed,rabi,Nov,optimal,6.3,21.6,489.6,55.0,85.8,49.8,56.5,84.0,Falak-24
silt loam,Potohar,rainfed,tube well,rabi,Dec,late,6.3,22.7,643.8,56.7,93.3,51.8,42.8,88.7,Falak-24
loamy,Central Punjab,irrigated,canal,rabi,Oct,early,6.4,22.4,605.8,50.9,92.9,40.3,44.6,88.6,Dilkash-20
clay loam,South Punjab,rainfed,tube well,rabi,Nov,optimal,6.5,21.7,567.4,50.1,103.7,53.1,41.8,81.4,Subhani-21
silt loam,Potohar,irrigated,tube well,rabi,Dec,late,6.8,23.0,521.5,52.0,106.9,49.3,54.0,84.4,Sawera-24
sandy loam,Canal Area,rainfed,mixed,rabi,Oct,early,6.4,21.3,555.6,55.0,94.4,44.5,50.6,85.8,Arooj-22
silt loam,Punjab North,irrigated,tube well,rabi,Nov,optimal,6.4,23.4,572.6,51.8,96.4,54.5,60.0,85.0,Subhani-21
sandy loam,Canal Area,rainfed,rainfed,rabi,Dec,late,6.9,23.0,574.8,56.1,80.3,46.5,42.7,82.4,Sawera-24
sandy loam,Potohar,irrigated,tube well,rabi,Oct,early,6.1,23.9,461.9,52.3,93.3,53.2,48.2,88.0,Arooj-22
silt loam,Potohar,rainfed,tube well,rabi,Nov,optimal,6.2,21.1,483.1,58.0,98.9,58.8,50.9,89.8,Arooj-22
sandy loam,Potohar,irrigated,tube well,rabi,Dec,late,6.9,21.9,533.7,50.8,90.3,49.6,45.4,81.9,Arooj-22
loamy,Canal Area,rainfed,canal,rabi,Oct,early,7.0,21.8,603.6,53.4,114.4,56.0,41.9,88.0,Dilkash-20
clay loam,Potohar,irrigated,canal,rabi,Nov,optimal,6.0,21.4,589.2,59.2,106.4,58.0,45.5,87.5,Falak-24
sandy loam,Canal Area,rainfed,rainfed,rabi,Dec,late,6.4,21.3,510.5,58.3,85.4,57.5,54.2,89.3,Arooj-22
loamy,Potohar,irrigated,rainfed,rabi,Oct,early,6.3,23.4,498.5,55.6,111.0,60.0,52.1,84.5,Arooj-22
sandy loam,South Punjab,rainfed,canal,rabi,Nov,optimal,6.6,21.7,596.9,55.5,101.2,56.0,57.8,80.6,Sawera-24
clay loam,Potohar,irrigated,rainfed,rabi,Dec,late,6.9,21.9,581.3,54.1,100.7,40.9,40.2,83.8,Arooj-22
loamy,Canal Area,rainfed,canal,rabi,Oct,early,6.3,23.2,586.8,51.2,112.7,53.9,46.6,88.1,Dilkash-20
clay loam,Central Punjab,irrigated,mixed,rabi,Nov,optimal,6.4,21.1,565.2,55.9,100.7,54.5,58.9,84.9,Subhani-21
clay loam,Potohar,rainfed,tube well,rabi,Dec,late,6.6,21.0,487.2,58.4,82.3,45.8,41.6,82.9,Sawera-24
loamy,Central Punjab,irrigated,tube well,rabi,Oct,early,6.3,22.3,464.6,59.6,116.2,41.0,45.4,85.0,Subhani-21
loamy,South Punjab,rainfed,rainfed,rabi,Nov,optimal,6.0,22.3,525.9,51.7,85.1,57.1,59.7,81.6,Dilkash-20
loamy,Punjab North,irrigated,canal,rabi,Dec,late,6.5,22.0,647.3,57.7,82.0,58.7,55.9,87.3,Sawera-24
silt loam,South Punjab,rainfed,canal,rabi,Oct,early,6.8,22.8,472.8,54.5,119.4,46.1,46.0,82.1,Falak-24
loamy,Potohar,irrigated,rainfed,rabi,Nov,optimal,6.1,22.6,463.6,52.4,100.6,46.3,40.0,82.6,Arooj-22
loamy,Central Punjab,rainfed,canal,rabi,Dec,late,6.2,22.6,461.2,51.3,84.7,57.9,54.9,80.9,Sawera-24
loamy,Central Punjab,irrigated,mixed,rabi,Oct,early,6.8,21.7,474.4,54.5,97.2,52.7,43.2,85.4,Dilkash-20
loamy,Canal Area,rainfed,tube well,rabi,Nov,optimal,6.2,22.2,535.2,54.9,100.0,45.3,59.3,80.3,Dilkash-20
sandy loam,Central Punjab,irrigated,rainfed,rabi,Dec,late,6.1,21.0,511.8,57.9,106.9,59.9,49.7,81.6,Arooj-22
silt loam,Canal Area,rainfed,rainfed,rabi,Oct,early,6.2,21.8,495.3,51.4,82.6,52.7,45.9,83.9,Arooj-22
clay loam,Punjab North,irrigated,canal,rabi,Nov,optimal,6.1,21.4,483.1,55.2,99.4,54.4,58.4,88.5,Falak-24
loamy,Potohar,rainfed,rainfed,rabi,Dec,late,6.8,23.6,630.3,56.9,113.8,44.1,41.4,86.3,Sawera-24
sandy loam,Canal Area,irrigated,mixed,rabi,Oct,early,6.2,22.6,512.8,58.4,101.1,53.4,47.9,86.0,Arooj-22
sandy loam,Punjab North,rainfed,canal,rabi,Nov,optimal,6.5,23.5,479.9,57.7,102.2,55.8,45.6,88.1,Subhani-21
sandy loam,Central Punjab,irrigated,canal,rabi,Dec,late,6.3,21.0,624.6,51.2,95.1,42.8,45.7,88.8,Sawera-24
clay loam,Central Punjab,rainfed,canal,rabi,Oct,early,6.2,23.3,484.1,57.7,117.4,42.0,56.0,80.9,Subhani-21
loamy,Punjab North,irrigated,canal,rabi,Nov,optimal,6.7,23.5,458.8,50.6,80.2,41.3,59.7,85.5,Subhani-21
silt loam,Central Punjab,rainfed,mixed,rabi,Dec,late,6.6,21.7,611.4,53.2,100.8,42.7,54.5,87.2,Dilkash-20
silt loam,Punjab North,irrigated,canal,rabi,Oct,early,6.5,21.1,571.9,59.8,93.6,40.0,57.8,84.4,Falak-24
sandy loam,Canal Area,rainfed,rainfed,rabi,Nov,optimal,6.6,23.6,452.7,58.7,91.5,43.0,45.8,86.1,Dilkash-20
clay loam,Canal Area,irrigated,mixed,rabi,Dec,late,6.8,24.0,525.2,53.0,97.1,44.7,54.1,84.9,Sawera-24
clay loam,Punjab North,rainfed,tube well,rabi,Oct,early,6.1,22.1,461.0,53.7,87.0,56.2,51.7,83.9,Falak-24
clay loam,Canal Area,irrigated,tube well,rabi,Nov,optimal,6.4,22.5,590.2,57.3,83.0,46.0,48.2,85.3,Subhani-21
silt loam,Canal Area,rainfed,rainfed,rabi,Dec,late,6.8,21.2,580.6,58.2,84.0,57.0,55.6,81.8,Dilkash-20
sandy loam,Canal Area,irrigated,rainfed,rabi,Oct,early,6.7,22.9,591.4,58.7,80.6,51.3,48.6,90.0,Arooj-22
loamy,South Punjab,rainfed,mixed,rabi,Nov,optimal,6.5,21.0,549.9,54.8,90.4,51.4,50.1,81.1,Sawera-24
silt loam,Potohar,irrigated,tube well,rabi,Dec,late,6.7,22.9,632.6,53.3,85.7,53.6,48.3,80.8,Sawera-24
